text,label
Өте шамалы жер! Қысқа нұсқа. Бармай-ақ қой,0
Мүлде ұнаған жоқ. Басқа баняларға қарағанда ең төмені.,0
"Бастысы таза монша екен! Пары да жақсы. Демалатын бөлме, жуынатын бөлме, туалет, теледидар бәрі бәрі бар. Өз бағасына лайықты!",1
Жігіттермен вип алдық Кірсек су жоқ оны өздері хабары жоқ. Жарайд дедік. Кешірім сұрап шығарып салудың орнына Екі сыра іліп жіберді. Былай арамызда сыра ішетін адам жоқ. Басқа баратын баня қалмасада бармаң,0
Өте нашар випті алғанбыз мұздай,0
Өте керемет әрі таза,1
Өте жақсы баня екен баруға кеңес берем,1
Көп рахмет супер әдемі демалдым,1
Жақсы баня екен тап-таза,1
"Лор Әсел Жумабаевна мықты маман екені көрсетті. Алғысым шексіз. Балам мұрынында проблема болып қаралғанбыз. Мардымды көмек болмады. Осы жерге келіп қараттық. Жылдам қимылдап тез арада рентген түсіріп. Қажетті шараларын алып, тез емделіп шықтық. Қазір тфай балам жақсы. Лор Әсел Жумабаевнаға мың алғыс.",1
Дәрігерлері кешігеді де жүреді 2 сағат күттім,0
"Жедел жәрдем ұжымына,терапия,хирургия,травматология ұжымдарына алғыс айтамын!Дендері сау болсын!Халыққа қызмет көрсету деңгейі керемет!Аман жүріңіздер!Бақытты болыңыздар!",1
Неге телефон көтермейсіздер? Тірісіз бе?,0
Бізге орыс мектебі қажет емес. Орыс мектебі ол тек ғана тіл емес орыстың сасық мәдениетін де бірге баланың бойына сіңдңреді. Былайша айтқанда ұрпағымызды жоюдың төте жолы.,0
Бұрында оқыған мектебім шынымды айтсам сағындым,1
Қайта келмес қызықты сәттердің ұясы!,1
мынау мектеп емес түрме ғой,0
Өте керемет оқу орны,1
Өзім бітірген керемет оқу орным ,1
нашар барар жол нашар,0
Күшті мектеп,1
"өте нашар мектеп, жолап керек емес мына мектепке",0
"Ыстық тамақ береді, бірақ тамақ суық, дәмі жоқ, су жоқ!!!",0
"1 жұлдызғада лайықты емес! Мектердің ішінде ең әлсіз шығар! Субардинация жоқ, ремонт жасалмаған! Ара қатынасы жоқ Мектептің ішінде айқай салып жүрген адам Бұл мектепке балаларыңызды бермеңіздер!",0
"Тілектес апай Еңбек сабағынан көп нəрсе үйретті. Айгүл апай қазақ тілінен жақсы үйретіп қана қоймай, балалардың психологиясын терең ұғынған адам. Ол бізге ұрыспай-ақ біздің сынып жақсы сыйлады ол апайды. Ал біздің сынып ең құрыған еді",1
Күшті мектеп апайлары өте күшті,1
"2005-2013 аралығында оқып кеттім. Өрбісінова Гульмира Сайлаубекқызы алғашқы ұстазым болған еді. Екінші ұстазым Пильтан Жұмагүл апай, сіздерді жақсы көремін білімді жақсы бере алдыңыздар",1
Мұғалімдері қаталдау,0
"Өте керемет мектеп екен, тек алға . Биіктерден көріне берін!!!",1
Өте нашар мектеп ең кіші мәселені де іштен тәртіпке келтіру деңгейі өте төмен,0
Көршілер шулы.,0
"жұмысшылары азық түлікке дұрыс қарамайды. бағаларын дұрыс қоймайды. кассирлері дұрыс ақпарат бермейді толық жұмыс атқармайды. айтып отқаныма ренжімең, бірақ рас зат. халыққа жұмыс атқаруыңызды сұраймын",0
өте керемет ішіндегі сатушыларда өте керемет Айболат деген бала шашы бұйра,1
"Админнің жұмысына базар жоқ, бірақ жас мастердің жұмысына көңілім толмады шаш алғанына, өте баяу, мен түсінемін тәжірибелі болып жоғарғы баға айтса, бірақ енді бастап жатып орташадан жоғары баға сұрау қате, нақты бағаны да айтпайды, болғасын ұра салатын сияқты",0
Нуралы братан өз ісінің маманы Рахмет,1
"Бүгін осы барбершопта болдым. Іші енді керемет. Нұралы мырза бастаған барша мастерлер өз ісінің нағыз мамандары. Барлық процедуралары көңілімнен шықты. Бүгін маған қызмет көрсеткен мастер Мұстафаға 10/10!!! Өсіңіздер, өніңіздер!!! Өрлей беріңіздер!!! Істеріңізге береке берсін!!!",1
"Кіргенде Англиядағы барбершопқа кіргендей болдым Шаштыда керемет алады екен Көңілімнен шықты! Бағасыда қол жетімді. Осыған дейін осылай жақсы шашты алғанды тек Астана, не Алматыда көргенмін",1
"Нұрдаулетке алғысым шексіз! Шеберлігі жоғары, қалаған стилімді дәл жасап берді. Клиентке деген қарым-қатынасы жылы әрі кәсіби. Міндетті түрде тағы да барамын!",1
Барлық мастерлер топ Қолдары алтын жігіттер,1
"Серікке рақмет, балама қатты ұнады, енді тек сол мастерге барам дейді",1
Күшті қылып жасап берді! Қолы жеңіл,1
Жұмыстары қатты ұнады,1
"Көбі мақтағанға барып едім, өкіндім. Ақшам босқа кетті. Макияж жасаған мастерлер клиентті күткізіп кешігіп келіп, жасаған макияжды өзгерте аласызба десек бұлданып адам сыйлап сөйлесіп білмейді.",0
Шашты жаман алды жылайтындай,0
"Ортопед Құрманға барудың вообще қажеті жоқ! Сұраққа адам сияқты жауап бермейді. Діңкілдеп, міндетсініп отырады.",0
"Барбершоп ұнамады, бір күн бұрын хабарласып жазылып қойып едім, ертесінде барлық жұмысымды сығырып барып едім мастер жолда келе жатыр 20 минут күте тұрыңыз деді, содан 50мин күттім, енді барып сұрасам қашан келеді деп, мастер ұйықтап қалыпты басқа уақыттқа жазайын дейді. Бұл не сұмдық ерігіп жүрген адам жоқ. Ешқандай жауапкершілік жоқ екен барберларында",0
Макпал деген кірпік жасай алмайды екен!,0
"Кеше педикюр-ға бардым. Гүлнұр деген мастер қабылдады. Педикюр жасағанда кино қарап отырды. Онысымен қоймай аяғымда тазалағышпен ойып жіберді. Дым болмады, қанап жатырған жоқ деген соң қатты мән бермедім, бірақ ауырып тұрды. Толық төлем ақы алды. Бірақ жараға лекопластерда бермеді . Үйге келгенше аяғым қансырап қан қан болып келдім.Жарамдыда үйге келгесің көрдім. Кәдімгідей ойып жіберген. Енді ақсаңдап сол жараны баса алмай жүрмін. Жағасан покрытиесі де аяғыма жағылып жатыр. Оны айтқанда маған жауабы сіздің жараңыздың қасында қазір тағы бақырасыз деген. Енді бармастай болып отырмын.",0
келесіде алып керек емес,0
Қатты қысқартат онша емес,0
Келген кезде жабық тұрады,0
"Ағырыс салоны маған ұнады. Соның ішінде прическа жасайтын Жансая керемет жасайды. Неше рет бардым ,бәрінде көңілімнен шықты. Және шашты да бояйды, мен Жансаяның тұрақты клиентімін. Рахмет жаным қолың дерт көрмесін.Клиенттерің көп болсын. Жұмысыңа сәттілік",1
Өте жақсы салон. Өзіме ұнады. Бұндай негатив айтып жазып отқан адамдарды түсінбедім. Салонның қыздары барлығыда жақсы,1
"Жұмыстарына өте жауапгершіліксіз!Өте өте нашар!! Ватсапқа жауап беретін адамдары ұйықтап жүреді. жауап бермейді. Әрқашан тапсырыс кешігеді. Кеше барлық адресімді жазғам жарты ай болды әлі жоқ жазсам жауап бермейді, мәлімдеме жазамын дегесін барып жауап берді. Барлығын толтырып жаздым толық 3 рет маған айтады адресі жоқ поштаның деп міндетті түрде орысша жазсаң ғана жауап береді Әлі міне 4ші күн тапсырысм әлі түспеді ПостКз-ға",0
"Қапылып қияды. Шашты дұрыс кептірмей машинкамен алды, содан қапталдары қисық болып шықты. Жалпы қию әдістері дұрыс емес. Үйге келіп бір жуғаннан кейін шашымның қапталдарын көріп жағамды ұстадым. Кеңес бермеймін.",0
Комбо жасаттым тырнақ пен кірпік мега обем сұрадым ал олар стрелка жасады менің сұрағаныма көрсеткеніме сай емес. Тырнақ біреуі ұзын екіншісі қысқа енді бармаймын. Кірпігі түсіп қалды 1 ай болмай тырнақтары ашылып түсіп жатыр,0
Керемет салон қыздары Жақсы қарапайым,1
"Тазалық жоқ нөл, орамалдары кір, жер шаш бір тазалық жоқ, тарақтары да лас,",0
Мастер Алия керемет қылып қиып берді. Бәріне осында баруға кеңес беремін. Ойымнан шықты,1
"Шаш мастері Алия ханымға рахмет Кеше шашымды қидырған едім, жылдам әрі өзіме ұнайтындай етіп қиып берді бірінші рет шашымды каре қылып қидырып жатырмын, уайымдаған едім, өзіме қатты ұнады жұмыстарыңыздың жемісін көріңіздер",1
Осы салондағы Дарияның макияж жасағаны қатты ұнайды!,1
"Керемет салон, ішінде керемет мастерлер жұмыс жасайды, шашымды қиған мастер Аяжан өз ісінің шебері",1
"Шаш қидыртуға барғанмын, мастері жаңа бастаған ба, қызық-қызық қиды. Адам құсап бітірмеген жұмыстың ақшасын қайтарасыз ба десем, жоқ соңына дейін қиып береді деді, шашымды әрі қарай бүлдірткім келмеді.",0
"Өте нашар 1 ай созды , әр уақытқа ауыстырып",0
"Гүлжан деген мастерге барамын. Жұмысы өте керемет,маған ұнады. Бәріңізге кеңес беремін. Жұмысына тиянақты ұқыпты. Өз ісінің маманы. Жасаған маникюр өте ұзақ тұрады. Барыңыздар өкінбейсіздер",1
Шашты жақсы және әдемі қиады екен,1
"Бүгін шашымды алдырдым, нәтижесі қатты ұнады! Шаштараз өте ұқыпты және кәсіби жұмыс істейді. Барлығы таза, жылдам әрі сапалы жасалды. Шаш қию стилі де маған қатты ұнады. Өз ісінің шебері екені көрініп тұр! Барлығына кеңес беремін! Рахмет жігіттер",1
"Асем мастерге  екінші рет келіп тұрмын. Маған Асемнің жұмысы ұнайды, дәл ойымдағыдай жасап береді. Және ұзақ тұрады. Бұрынғы жасатып жүрген мастерлерімдікі тек 10 күн тұратын еді. Асемге бірінші істеткенде таң қалдым, өзі сыпайы, сүйкімді. Әр келгенде жылы қарсалып, дәл ойымдағыны оқып қойғандай жасайды.",1
"Жессика салонындағы Дильяра мастерге, Куляш мастерге, Бану мастерге үлкен рахмет. Үнемі осы салонға барамын. Клиентпен жұмыс жасауы қатты ұнайды Әлі де талай баратын боламын осы салонға.",1
"Дильнара өте жақсы мастер. Ұқыпты, әрі тиянақты жасайды жұмысын. Сеніп бара берсеңіздер болады. Қазір ұтысқа қатыссаңыздар болады. Мен бұйырса қатысып жатырмын",1
